Names	switch_no_tresh	switch_with_tresh	mean_no_tresh	mean_with_tresh	vari_no_tresh	vari_with_tresh	devi_no_tresh	devi_with_tresh
102513_rfMRI_REST2	0.2463157894736842	0.029473684210526315	-0.021043771043771045	0.9267676767676768	0.9995571597002574	0.14110167329864304	0.999778555331258	0.37563502671961124
205220_rfMRI_REST2	0.24294736842105263	0.08968421052631578	0.006734006734006734	0.7382154882154882	0.9999546531533063	0.4550378929587684	0.9999773263196052	0.6745649657066163
441939_rfMRI_REST2	0.2597894736842105	0.020210526315789474	-0.010101010101010102	0.9494949494949495	0.9998979695949394	0.09845934088358328	0.9999489834961278	0.31378231448503163
529953_rfMRI_REST2	0.23705263157894738	0.13431578947368422	-0.021043771043771045	0.5917508417508418	0.9995571597002572	0.6498309412871702	0.9997785553312579	0.8061209222487469
127933_rfMRI_REST2	0.24673684210526317	0.13221052631578947	0.004208754208754209	0.5723905723905723	0.9999822863880102	0.6723690326383929	0.9999911431547832	0.819981117245021
971160_rfMRI_REST2	0.24252631578947367	0.10357894736842105	-0.006734006734006734	0.6986531986531986	0.9999546531533063	0.5118837080116541	0.9999773263196052	0.7154604866878772
523032_rfMRI_REST2	0.25305263157894736	0.104	-0.007575757575757576	0.6961279461279462	0.9999426078971532	0.5154058826196872	0.9999713035368331	0.7179177408447901
300618_rfMRI_REST2	0.2501052631578947	0.15242105263157896	-0.0008417508417508417	0.48569023569023567	0.9999992914555206	0.7641049949551633	0.9999996457276975	0.8741309941622956
188751_rfMRI_REST2	0.25726315789473686	0.15578947368421053	0.011784511784511785	0.45875420875420875	0.9998611252820008	0.7895445759502999	0.9999305602300596	0.8885632087534909
118023_rfMRI_REST1	0.25094736842105264	0.14694736842105263	-0.013468013468013467	0.5462962962962963	0.9998186126132254	0.7015603566529492	0.9999093021935667	0.8375919989188945
973770_rfMRI_REST1	0.2522105263157895	0.11536842105263158	0.049663299663299666	0.6506734006734006	0.9975335566665535	0.5766241256561121	0.9987660169762252	0.7593577059963981
825654_rfMRI_REST2	0.25263157894736843	0.06905263157894737	0.005050505050505051	0.8181818181818182	0.9999744923987347	0.3305785123966942	0.9999872461180366	0.5749595745760689
880157_rfMRI_REST2	0.2522105263157895	0.021473684210526315	0.006734006734006734	0.9461279461279462	0.9999546531533063	0.10484190955571426	0.9999773263196052	0.32379300417969853
159138_rfMRI_REST1	0.2496842105263158	0.17894736842105263	-0.016835016835016835	0.4335016835016835	0.9997165822081648	0.8120762904012061	0.9998582810619537	0.9011527564188028
856766_rfMRI_REST2	0.25305263157894736	0.053052631578947365	0.021043771043771045	0.8560606060606061	0.9995571597002574	0.26716023875114775	0.999778555331258	0.5168754576792631
485757_rfMRI_REST2	0.2505263157894737	0.06147368421052631	0.004208754208754209	0.819023569023569	0.9999822863880102	0.3292003933838951	0.9999911431547832	0.5737598743236539
164939_rfMRI_REST1	0.2543157894736842	0.04547368421052632	-0.010942760942760943	0.867003367003367	0.9998802559829498	0.2483051616048249	0.9999401261990389	0.4983022793494175
214423_rfMRI_REST1	0.24168421052631578	0.2063157894736842	-0.006734006734006734	0.3324915824915825	0.9999546531533063	0.8894493475722433	0.9999773263196052	0.9431062228467392
118730_rfMRI_REST1	0.25642105263157894	0.018105263157894735	-0.010942760942760943	0.952020202020202	0.9998802559829498	0.09365753494541375	0.9999401261990389	0.3060351857963619
